fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 011748	-1.43170820444847	1836.98379205235	916.032488209897	20	5	19146666.6666667	25
20220911 012135	-0.348591598082033	211.295250545598	100.675515744429	14	5	19293333.3333333	26
20220911 012500	-0.375963191931513	2414.76744156402	303.483307362163	20	5	19749333.3333333	27
20220911 012825	-1.58381797072508	210.334528619818	103.679524868134	12	5	19424000	28
20220911 013205	-1.060241364752	626.702405730021	311.781979316217	20	5	20509333.3333333	29
20220911 013350	-1.10512411326483	1976.53330755979	987.279597197145	5	5	18973333.3333333	30
20220911 013749	-0.426788616731854	424.515898916382	210.995667661883	20	5	20338666.6666667	31
20220911 014155	-0.30501556799506	1118.60690011437	151.132278994163	20	5	20418666.6666667	32
20220911 014520	-0.396166140917194	1050.08707326711	407.23564485384	16	5	20682666.6666667	33
20220911 014800	-1.99967579937696	1016.66241563826	506.698082488148	9	5	20184000	34
20220911 015114	-1.864946045065	1183.06528409538	590.974482798273	15	5	19546666.6666667	35
20220911 015452	-1.9998736714988	2359.34292691562	101.434990152921	15	5	19634666.6666667	36
20220911 015902	-0.967643719442576	1718.54803340879	100.470970910975	20	5	20610666.6666667	37
20220911 020254	-1.1025684539486	1457.07639921641	100.329917757816	16	5	20930666.6666667	38
20220911 020641	-1.00528530642715	1018.66813572006	100.517235088135	15	5	20874666.6666667	39
20220911 020755	-1.56708988261267	1396.27210671075	691.938450870974	3	5	18533333.3333333	40
20220911 021131	-1.04007859057263	1510.03725892967	229.009110058584	16	5	20866666.6666667	41
20220911 021245	-0.567634225269534	1999.74144961819	999.670627955552	3	5	18378666.6666667	42
20220911 021357	-1.99962388641047	220.810125627803	100.164957237337	3	5	18208000	43
20220911 021725	-1.99995589137035	871.373518213976	430.432366300393	20	5	20064000	44
20220911 022131	-1.66136564449202	2293.26828420382	100.048953326824	20	5	19642666.6666667	45
20220911 022444	-1.14764186491294	933.880028220032	247.150283861177	12	5	20880000	46
20220911 022800	-1.10054336902488	1112.87078340865	555.487749320424	14	5	19592000	47
20220911 023115	-1.19824480830194	1398.21027989989	101.660686505077	12	5	20829333.3333333	48
20220911 023505	-1.16112487794393	1088.10604111475	177.081658573101	16	5	20730666.6666667	49
20220911 023618	-1.14488303824309	690.815878805737	100.170312263318	3	5	18208000	50
20220911 023926	-1.38690925087676	1590.06779624964	283.136270839724	12	5	20757333.3333333	51
20220911 024245	-0.907652881293276	1531.17628020508	260.422321790288	13	5	20800000	52
20220911 024555	-0.517319115144604	1473.24889759463	291.529284388874	12	5	21010666.6666667	53
20220911 024903	-0.65150028227324	1571.43966619203	294.536156891424	12	5	20781333.3333333	54
20220911 025153	-1.71063703813565	1270.90743932701	311.559878314777	10	5	20989333.3333333	55
20220911 025524	-0.384898276726545	1330.01687440069	272.597930262167	15	5	21173333.3333333	56
20220911 025813	-1.91666498141138	1651.72480248538	317.139106699273	10	5	20746666.6666667	57
20220911 025926	-0.428818353994454	1407.95241754988	328.328170336998	3	5	18504000	58
20220911 030253	-1.77261803287518	1773.61023883931	346.578182694507	20	5	20584000	59
20220911 030543	-1.28971157349393	1264.94582651296	286.696207977844	10	5	21282666.6666667	60
20220911 030831	-1.27803820185724	1710.61287344815	265.499761606002	10	5	20709333.3333333	61
20220911 031122	-1.32482870147996	949.676847167864	331.428342458285	10	5	20930666.6666667	62
20220911 031459	-1.52672389198078	1233.91957466415	289.239575496088	20	5	21138666.6666667	63
20220911 031748	-1.49936261276241	1236.02046473079	282.016203506824	10	5	21248000	64
20220911 031901	-1.99849356625014	4999.01134465054	999.92062898011	3	5	17456000	65
20220911 032144	-1.56604493962489	4995.63802009369	999.945950189732	20	5	17674666.6666667	66
20220911 032502	-1.99951718180194	4999.67704169791	279.139687781691	20	5	17661333.3333333	67
20220911 032835	-0.553317323221338	1240.39182953722	285.671407084891	16	5	21266666.6666667	68
20220911 033210	-0.396042799797296	1122.9705044823	280.160609143436	17	5	21192000	69
20220911 033539	-0.511227619981636	1208.04385828775	293.48754346952	15	5	21178666.6666667	70
20220911 033914	-1.2727506850389	1294.54828627352	291.370074155598	20	5	21178666.6666667	71
20220911 034248	-1.46675220640744	1283.17301106062	293.483809782478	18	5	21144000	72
20220911 034623	-0.95589496437426	1249.69761726857	289.163618223972	18	5	21146666.6666667	73
20220911 034923	-1.2675733120074	1212.76654292236	284.660008080106	11	5	21336000	74
20220911 035234	-1.99992096964542	1201.74344527819	288.765390851349	12	5	21272000	75
20220911 035608	-1.96676488736251	1299.91929969914	285.339254216107	17	5	21197333.3333333	76
